model_label,delta_pp,success_rate,failure_rate,L2_per_case,total_monthly,avg_cost_per_case
results_parallel.json,-10,0.9,0.09999999999999998,0.9169999999999998,6595.2390857142855,1.6488097714285714
results_parallel.json,-8,0.92,0.07999999999999996,0.7335999999999996,5861.639085714284,1.465409771428571
results_parallel.json,-6,0.94,0.06000000000000005,0.5502000000000005,5128.0390857142875,1.2820097714285719
results_parallel.json,-4,0.96,0.040000000000000036,0.36680000000000035,4394.439085714287,1.0986097714285719
results_parallel.json,-2,0.98,0.020000000000000018,0.18340000000000017,3660.8390857142863,0.9152097714285715
results_parallel.json,0,1.0,0.0,0.0,2927.239085714286,0.7318097714285715
results_parallel.json,2,1.0,0.0,0.0,2927.239085714286,0.7318097714285715
results_parallel.json,4,1.0,0.0,0.0,2927.239085714286,0.7318097714285715
results_parallel.json,6,1.0,0.0,0.0,2927.239085714286,0.7318097714285715
results_parallel.json,8,1.0,0.0,0.0,2927.239085714286,0.7318097714285715
results_parallel.json,10,1.0,0.0,0.0,2927.239085714286,0.7318097714285715
results_sequential.json,-10,0.9,0.09999999999999998,0.9169999999999998,6598.214399999999,1.6495535999999997
results_sequential.json,-8,0.92,0.07999999999999996,0.7335999999999996,5864.614399999999,1.4661535999999997
results_sequential.json,-6,0.94,0.06000000000000005,0.5502000000000005,5131.014400000002,1.2827536000000004
results_sequential.json,-4,0.96,0.040000000000000036,0.36680000000000035,4397.4144000000015,1.0993536000000004
results_sequential.json,-2,0.98,0.020000000000000018,0.18340000000000017,3663.8144000000007,0.9159536000000001
results_sequential.json,0,1.0,0.0,0.0,2930.2144,0.7325535999999999
results_sequential.json,2,1.0,0.0,0.0,2930.2144,0.7325535999999999
results_sequential.json,4,1.0,0.0,0.0,2930.2144,0.7325535999999999
results_sequential.json,6,1.0,0.0,0.0,2930.2144,0.7325535999999999
results_sequential.json,8,1.0,0.0,0.0,2930.2144,0.7325535999999999
results_sequential.json,10,1.0,0.0,0.0,2930.2144,0.7325535999999999
